split,role,exclusion_type,dropped_value,base_gap_pp,base_gap_ge_10pp,projection_residual_strict_rate,projection_residual_nonzero,effectguard_strict_rate,effectguard_zero_strict,effectguard_raw_retention_vs_base,effectguard_retains_ge_90pct_base_raw,projection_required
shared_proposal_v2,paired_proposal_control,drop_family,delegated_docs,56.69642857142857,True,0.0819515306122449,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_family,tau_airline,55.598958333333336,True,0.08723958333333333,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_family,tau_retail,57.235863095238095,True,0.10212053571428571,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_family,telecom,55.078125,True,0.08165922619047619,True,0.0,True,1.0,True,True
shared_proposal_v2,paired_proposal_control,drop_family,toolsandbox_contract,59.964923469387756,True,0.10475127551020408,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,none,all,56.20814732142857,True,0.0849609375,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_model,gemma3_27b_it_local,57.97991071428571,True,0.11328125,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_model,llama3_3_70b_awq_local,51.655505952380956,True,0.11253720238095238,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_model,mistral_small_3_2_24b_local,53.125,True,0.10379464285714286,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_model,qwen3_6_35b_a3b_local,62.07217261904761,True,0.010230654761904762,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_family,delegated_docs,55.83545918367348,True,0.07684948979591837,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_family,tau_airline,53.79464285714286,True,0.07310267857142858,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_family,tau_retail,56.547619047619044,True,0.09654017857142858,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_family,telecom,55.338541666666664,True,0.08054315476190477,True,0.0,True,1.0,True,True
shared_proposal_v3_nosystem,paired_proposal_control_fresh_no_system_prompt,drop_family,toolsandbox_contract,59.10395408163265,True,0.09709821428571429,True,0.0,True,1.0,True,True
native_validation,native_validation,none,all,67.67757382282522,True,0.0,not_required,0.0,True,1.2258579409417398,True,False
native_validation,native_validation,drop_model,gemma3_27b_it_local,65.05376344086021,True,0.0,not_required,0.0,True,1.238709677419355,True,False
native_validation,native_validation,drop_model,llama3_3_70b_awq_local,61.9102416570771,True,0.0,not_required,0.0,True,1.3256616800920598,True,False
native_validation,native_validation,drop_model,mistral_small_3_2_24b_local,66.16800920598389,True,0.0,not_required,0.0,True,1.3256616800920598,True,False
native_validation,native_validation,drop_model,qwen3_6_35b_a3b_local,75.71035747021082,True,0.0,not_required,0.0,True,1.0559120073327222,True,False
native_validation,native_validation,drop_family,tau2_telecom_native,66.5380906460945,True,0.0,not_required,0.0,True,1.2343297974927676,True,False
native_validation,native_validation,drop_family,tau_airline_native,66.00741656365884,True,0.0,not_required,0.0,True,1.2657601977750308,True,False
native_validation,native_validation,drop_family,tau_retail_native,69.4829760403531,True,0.0,not_required,0.0,True,1.2912988650693569,True,False
native_validation,native_validation,drop_family,toolsandbox_contract_native,68.66071428571429,True,0.0,not_required,0.0,True,1.1428571428571428,True,False
