family,regime,system,trajectories,raw_success,strict_excess_per_success,kernel_least_effect_success
tau_airline,MEMORY_REVISE,PROJ_GUARD_V2,256,1.0,0.1796875,0.8203125
tau_airline,REVISE,BASE,256,1.0,0.421875,0.578125
tau_airline,REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,REVISE,PROJ_GUARD_V2,256,1.0,0.1171875,0.8828125
tau_airline,SHARDED,BASE,256,1.0,0.9140625,0.0859375
tau_airline,SHARDED,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,SHARDED,PROJ_GUARD_V2,256,1.0,0.0390625,0.9609375
tau_airline,SNOWBALL,BASE,256,1.0,0.00390625,0.99609375
tau_airline,SNOWBALL,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_airline,SNOWBALL,PROJ_GUARD_V2,256,1.0,0.0078125,0.9921875
tau_retail,ADV_EFFECT,BASE,256,1.0,0.75,0.25
tau_retail,ADV_EFFECT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,ADV_EFFECT,PROJ_GUARD_V2,256,1.0,0.0,1.0
tau_retail,CONCAT,BASE,256,1.0,0.8359375,0.1640625
tau_retail,CONCAT,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,CONCAT,PROJ_GUARD_V2,256,1.0,0.125,0.875
tau_retail,FULL,BASE,256,1.0,0.8828125,0.1171875
tau_retail,FULL,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,FULL,PROJ_GUARD_V2,256,1.0,0.0390625,0.9609375
tau_retail,MEMORY_REVISE,BASE,256,1.0,0.19140625,0.80859375
tau_retail,MEMORY_REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,MEMORY_REVISE,PROJ_GUARD_V2,256,1.0,0.140625,0.859375
tau_retail,REVISE,BASE,256,1.0,0.453125,0.546875
tau_retail,REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,REVISE,PROJ_GUARD_V2,256,1.0,0.015625,0.984375
tau_retail,SHARDED,BASE,256,1.0,0.7890625,0.2109375
tau_retail,SHARDED,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,SHARDED,PROJ_GUARD_V2,256,1.0,0.0234375,0.9765625
tau_retail,SNOWBALL,BASE,256,1.0,0.0390625,0.9609375
tau_retail,SNOWBALL,EFFECTGUARD_V2,256,1.0,0.0,1.0
tau_retail,SNOWBALL,PROJ_GUARD_V2,256,1.0,0.0,1.0
telecom,ADV_EFFECT,BASE,256,1.0,0.7578125,0.2421875
telecom,ADV_EFFECT,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,ADV_EFFECT,PROJ_GUARD_V2,256,1.0,0.0078125,0.9921875
telecom,CONCAT,BASE,256,1.0,0.8671875,0.1328125
telecom,CONCAT,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,CONCAT,PROJ_GUARD_V2,256,1.0,0.125,0.875
telecom,FULL,BASE,256,1.0,1.0,0.0
telecom,FULL,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,FULL,PROJ_GUARD_V2,256,1.0,0.1484375,0.8515625
telecom,MEMORY_REVISE,BASE,256,1.0,0.33203125,0.66796875
telecom,MEMORY_REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,MEMORY_REVISE,PROJ_GUARD_V2,256,1.0,0.140625,0.859375
telecom,REVISE,BASE,256,1.0,0.40625,0.59375
telecom,REVISE,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,REVISE,PROJ_GUARD_V2,256,1.0,0.1171875,0.8828125
telecom,SHARDED,BASE,256,1.0,0.9375,0.0625
telecom,SHARDED,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,SHARDED,PROJ_GUARD_V2,256,1.0,0.0859375,0.9140625
telecom,SNOWBALL,BASE,256,1.0,0.09375,0.90625
telecom,SNOWBALL,EFFECTGUARD_V2,256,1.0,0.0,1.0
telecom,SNOWBALL,PROJ_GUARD_V2,256,1.0,0.0078125,0.9921875
toolsandbox_contract,ADV_EFFECT,BASE,128,1.0,0.2265625,0.7734375
toolsandbox_contract,ADV_EFFECT,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,ADV_EFFECT,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,CONCAT,BASE,128,1.0,0.671875,0.328125
toolsandbox_contract,CONCAT,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,CONCAT,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,FULL,BASE,128,1.0,0.734375,0.265625
toolsandbox_contract,FULL,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,FULL,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,MEMORY_REVISE,BASE,128,1.0,0.15625,0.84375
toolsandbox_contract,MEMORY_REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,MEMORY_REVISE,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,REVISE,BASE,128,1.0,0.21875,0.78125
toolsandbox_contract,REVISE,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,REVISE,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,SHARDED,BASE,128,1.0,0.53125,0.46875
toolsandbox_contract,SHARDED,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,SHARDED,PROJ_GUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,SNOWBALL,BASE,128,1.0,0.0,1.0
toolsandbox_contract,SNOWBALL,EFFECTGUARD_V2,128,1.0,0.0,1.0
toolsandbox_contract,SNOWBALL,PROJ_GUARD_V2,128,1.0,0.0,1.0
